GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US08001007801,8001007801,"Census Tract 78.01, Adams County, Colorado",1166,81,106,54,1060,84
1400000US08001007802,8001007802,"Census Tract 78.02, Adams County, Colorado",1187,103,129,59,1058,121
1400000US08001007900,8001007900,"Census Tract 79, Adams County, Colorado",1750,97,457,73,1293,107
1400000US08001008000,8001008000,"Census Tract 80, Adams County, Colorado",1762,76,1006,132,756,130
1400000US08001008100,8001008100,"Census Tract 81, Adams County, Colorado",514,61,48,30,466,62
1400000US08001008200,8001008200,"Census Tract 82, Adams County, Colorado",1452,69,964,123,488,104
1400000US08001008308,8001008308,"Census Tract 83.08, Adams County, Colorado",1752,134,921,162,831,152
1400000US08001008309,8001008309,"Census Tract 83.09, Adams County, Colorado",1056,69,731,102,325,105
1400000US08001008353,8001008353,"Census Tract 83.53, Adams County, Colorado",2016,141,1432,183,584,168
1400000US08001008401,8001008401,"Census Tract 84.01, Adams County, Colorado",1603,115,1338,124,265,86
1400000US08001008402,8001008402,"Census Tract 84.02, Adams County, Colorado",1567,94,1374,110,193,68
1400000US08001008505,8001008505,"Census Tract 85.05, Adams County, Colorado",2519,134,2022,181,497,159
1400000US08001008506,8001008506,"Census Tract 85.06, Adams County, Colorado",2606,191,478,135,2128,223
1400000US08001008507,8001008507,"Census Tract 85.07, Adams County, Colorado",2176,124,1695,169,481,155
1400000US08001008508,8001008508,"Census Tract 85.08, Adams County, Colorado",1834,91,1207,136,627,115
1400000US08001008523,8001008523,"Census Tract 85.23, Adams County, Colorado",2554,133,2269,174,285,126
1400000US08001008524,8001008524,"Census Tract 85.24, Adams County, Colorado",2512,99,2281,142,231,104
1400000US08001008526,8001008526,"Census Tract 85.26, Adams County, Colorado",2449,69,1853,165,596,145
1400000US08001008529,8001008529,"Census Tract 85.29, Adams County, Colorado",3058,179,1187,225,1871,250
